                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.8455,                 2.0376,                 2.0627,                 1.2444,                0.61052,                 0.2618,                0.27997,                 0.1179,                0.32058,                0.23694,                0.21257,                0.07262,                  2.276,                 5.7761,                 8.8922,                0.98977,             0.00055258,             0.00055258,             0.00055258
                      2,                 1.5865,                 1.4646,                 1.2278,                 1.0853,                0.53055,                0.24464,                0.25854,                0.12418,                0.35887,                0.18455,                0.18903,                0.07512,                 2.1116,                 3.5308,                 6.7583,                0.95816,             0.00099853,             0.00099853,             0.00099853
                      3,                 1.4604,                 1.3397,                 1.1154,                 1.0519,                0.64992,                0.28755,                0.29075,                0.13028,                0.55242,                0.30194,                0.31263,                 0.1002,                 2.0077,                 4.3498,                 9.5435,                0.93601,              0.0013345,              0.0013345,              0.0013345
                      4,                 1.3882,                 1.2977,                 1.0368,                  1.041,                 0.6877,                0.27897,                0.29379,                0.14552,                0.36218,                0.23605,                0.22248,                 0.0811,                 2.0782,                 4.3382,                 12.347,                0.96485,              0.0011719,              0.0011719,              0.0011719
                      5,                  1.356,                 1.2627,                0.99172,                  1.025,                0.66789,                0.31936,                0.34176,                0.16295,                0.36195,                0.25322,                0.19959,                0.06485,                 1.9812,                 3.5918,                   7.03,                 0.9171,              0.0010069,              0.0010069,              0.0010069
                      6,                 1.2433,                 1.1531,                0.89676,                0.99714,                0.72378,                0.29614,                0.34547,                0.16148,                 0.3963,                0.21977,                0.22646,                0.08631,                 2.0164,                 4.0694,                 7.9288,                0.94606,             0.00084184,             0.00084184,             0.00084184
                      7,                 1.2268,                 1.1276,                0.86005,                0.98734,                0.72557,                0.36052,                0.38121,                0.19283,                 0.5233,                0.32618,                0.33481,                0.12346,                 1.9429,                 4.1441,                 11.647,                0.93587,              0.0006768,              0.0006768,              0.0006768
                      8,                 1.1801,                 1.0896,                0.84707,                0.96909,                0.68378,                0.33476,                0.37119,                 0.1935,                0.46509,                0.29185,                0.26789,                0.10712,                 1.6426,                 3.5174,                 7.9675,                 0.9103,             0.00051177,             0.00051177,             0.00051177
                      9,                 1.1432,                 1.0474,                0.78477,                 0.9576,                0.71734,                0.35944,                0.37239,                0.19375,                0.52539,                0.32618,                0.31422,                0.12194,                 1.7771,                 3.1419,                 9.8903,                0.90884,             0.00034674,             0.00034674,             0.00034674
                     10,                 1.0733,                0.97324,                0.75431,                0.93833,                0.68622,                0.34764,                0.38577,                0.22012,                0.45189,                0.30472,                0.29297,                0.11784,                 1.5671,                 2.9144,                 10.149,                0.88922,              0.0001817,              0.0001817,              0.0001817
